model,family,val_MAE,MAE,DAE,DAE_norm,SMAPE,RMAE,overfit_gap,train_time
dnn,Neural Network,11.6283,11.2656,182.6622,9.794,22.2039,0.4825,2.1769,18s
xgboost,Tree,13.1231,12.5049,218.6658,16.3395,27.6683,0.5356,5.3681,18s
catboost,Tree,13.5727,12.6621,208.5392,15.4528,26.4896,0.5423,4.288,18s
ridge,Linear,15.2355,14.6737,216.9707,13.5497,27.0588,0.6285,-0.7974,2s
naive,Baseline,28.4164,23.3474,452.1761,23.9961,37.6247,1.0,,<1s
