datetime,price,charge_mw,discharge_mw,soc_mwh,net_mw,pnl_eur
2025-07-01 00:00:00,31.4901424590337,0.0,16.0,4.0,16.0,503.8422793445392
2025-07-01 01:00:00,24.585207096486446,0.0,0.0,4.0,0.0,0.0
2025-07-01 02:00:00,23.94306561430208,15.555556,0.0,18.0,-15.555556,-372.44769797495036
2025-07-01 03:00:00,24.569089569224076,0.0,0.0,18.0,0.0,0.0
2025-07-01 04:00:00,20.29753987582999,20.0,0.0,36.0,-20.0,-405.9507975165998
2025-07-01 05:00:00,27.29758912915246,0.0,0.0,36.0,0.0,0.0
2025-07-01 06:00:00,59.737638446522176,0.0,0.0,36.0,0.0,0.0
2025-07-01 07:00:00,77.30230418745873,0.0,12.0,24.0,12.0,927.6276502495048
2025-07-01 08:00:00,78.59157684219514,0.0,20.0,4.0,20.0,1571.8315368439028
2025-07-01 09:00:00,71.6276801307579,0.0,0.0,4.0,0.0,0.0
2025-07-01 10:00:00,58.60974692156261,0.0,0.0,4.0,0.0,0.0
2025-07-01 11:00:00,53.60281073928923,0.0,0.0,4.0,0.0,0.0
2025-07-01 12:00:00,50.7258868146981,0.0,0.0,4.0,0.0,0.0
2025-07-01 13:00:00,42.260159266026605,20.0,0.0,22.0,-20.0,-845.2031853205322
2025-07-01 14:00:00,44.8252465024609,15.555556,0.0,36.0,-15.555556,-697.2816321828346
2025-07-01 15:00:00,53.31313741227708,0.0,0.0,36.0,0.0,0.0
2025-07-01 16:00:00,61.96150663899673,0.0,0.0,36.0,0.0,0.0
2025-07-01 17:00:00,85.94274199778582,0.0,12.0,24.0,12.0,1031.31290397343
2025-07-01 18:00:00,87.27592777343636,0.0,20.0,4.0,20.0,1745.5185554687273
2025-07-01 19:00:00,75.76308889599413,0.0,0.0,4.0,0.0,0.0
2025-07-01 20:00:00,69.39694630676466,0.0,0.0,4.0,0.0,0.0
2025-07-01 21:00:00,54.32267109854039,0.0,0.0,4.0,0.0,0.0
2025-07-01 22:00:00,45.202584614063774,0.0,0.0,4.0,0.0,0.0
2025-07-01 23:00:00,30.72575544135963,17.777778,0.0,20.0,-17.777778,-546.2356591187836
